Vessel Name,Service Lane,Norminal Capacity,Max Cargo Weight (Ton),Max TEU,Min 20' required (only for footpad),Max TEU,Min 20' required (without slot loss),Suggested BSA,Suggested BSA (Monsoon),Reefer Plug,Remark
CUL HAIPHONG,ST3,938,8400,679,17,790,205,680,,97,
CUL HUANGPU,CHT,,7100,594,10,672,280,590,,80,
CUL HUANGPU,NSCT1,702,7100,594,10,672,280,590,,80,
CUL HOCHIMINH,REX,,27500,2214,30,2370,460 - 480,2250,2230,388,
CUL HOCHIMINH,AEM/CGX,,27500,2214,30,2370,460 - 480,2250,2230,388,
CUL KLANG,AEM,,27500,2002,30,2166,450-480,2030,2010,260,
CUL KLANG,REX,,27500,2002,30,2166,450-480,2030,2010,260,
CUL LAEMCHABANG,REX,,18500,1514,24,1670,250-300,1600,1520,220,
CUL LAEMCHABANG,AEM,,18500,1514,24,1670,250-300,1600,1520,220,
CUL LAEMCHABANG,CST(SB),1930,18000,1514,24,1670,250-300,1650,,220,
CUL LAEMCHABANG,CST(NB),1930,18000,1514,24,1670,250-300,Always reach max cargo weight 18000ton first,,220,
CUL NANSHA,CST(SB),1930,18000,1514,24,1670,250-300,1650,,220,
CUL NANSHA,CST(NB),1930,18000,1514,24,1670,250-300,Always reach max cargo weight 18000ton first,,220,
CUL NANSHA,REX,1930,18000,1514,24,1670,250-300,1600,1550,220,
CUL SHEKOU,AEM,,27500,2214,30,2370,460 - 480,2250,2230,388,
CUL SHEKOU,REX,,27500,2214,30,2370,460 - 480,2250,2230,388,
CUL XIAMEN,HDT,1440,15932,1138,14,1138,150-164,1138,,124,
M. ODYSSEY,CST(SB),1056,9100,750,14,928,186,850,,122,
M. ODYSSEY,CST(NB),1056,9100,750,14,928,186,Always reach max cargo weight 9100ton first,,122,
M. Mariner,CST(SB),1056,9100,750,14,928,186,850,,122,
M. Mariner,CST(NB),1056,9100,750,14,928,186,Always reach max cargo weight 9100ton first,,122,
CUL YANGPU,CST(SB),1930,18000,1514,24,1670,250-300,1650,,220,
CUL YANGPU,CCT(NB),1930,18000,1514,24,1670,250-300,Always reach max cargo weight 18000ton first,,220,
CUL YANGPU,CCT(SB),1930,18000,1514,24,1670,250-300,1650,,220,
CUL YANGPU,REX,1930,18000,1514,24,1670,250-300,1600,1550,220,
KR TASMAN,IMR,1660,18000,1212,18,1250,454,1200,1180,120,
KR TASMAN,REX,1660,18000,1212,18,1300,454,1220,1200,120,
STAR BLESSING,REX,1510,17500,1180,22,1300,408,1220,1200,100,
STAR BLESSING,IMR,1510,17500,1050,22,1174,408,estimated by laden,1180,100,
SUNNY 68,SJA,931,11700,650,4,780,250,"estimated by empties,applicaple for Aden export",,50,
TIGER LONGKOU,REX,1518,16000,1350,0,1350,0,1350,1300,30,
TIGER LONGKOU,AEM,1518,16000,1350,0,1350,0,1350,1300,30,
CUL HUMEN,IMR,,18014,1078,24,1200,528,1050,1000,120,
ZHONG LIAN SHAN TOU,JPS,599,5200,314,8,360,67-79,estimated by laden,,35,
WAN FU DA,REX,2045,21000,1586,42,,,1600,1550,120,
HAIAN MIND,REX,1794,18300,1358,24,1530,506,1400-1450,1370,319,
Hua Dong 811,SGX,1395,15680,1012,12,1205,450,1050 - 1080,,40,
Chang Sheng Ji 7,SGX,1184,16000,1030,14,1200,436,1100,1050,60,
Zhi Ying He Shun,SGX,1354,15300,1058,16,1194,396,1100,1050,30,
HONG DA XIN 728,REX,1816,24000,1672,6,1800,636,1700,1670,65,
CUL HUMEN,REX,,15736,1078,24,1200,528,1050,1000,120,
XING DONG 88,CGS,1354,15000,1086,16,1208,368,1100,1050,30,
MAO GANG SHANGHAI,REX,1562,15700,1124,12,1260,380,1160,1100,47,
ZHONG GU ZHU HAI,REX/RES,2518,31000,1941,49,2240,880,2060,2000,100,
ZHONG GU YIN CHUAN,REX,4636,57540,3722,26,4126,1342,3850,3800,360,
ZHONG GU NAN CHANG,AEM,4636,57540,3722,26,4126,1342,3850,3800,360,
ZHONG GU CHENG DU,AEM,4636,57540,3722,26,4126,1342,3850,3800,360,
EVERLASTING HARVEST,REX,1930,18500,1514,24,1670,250-300,1600,1550,220,
EXPRESS BERLIN,CGX,10114,100000,8400,56,/,/,8700,8500,800,
Racine,CGX,6758,66000,5500,52,/,/,5500,5300,500,
HOOGE,CCT(SB),,19200,1448,22,1572,246,1530,,258(212),
HOOGE,CCT(NB),,19200,1448,22,1572,246,Always reach max cargo weight 19200ton first,,258(212),
BZ CHONGFU,AEM/CGX,6078,60500,4872,52,/,/,5010,5000,500,
SHENG TANG,REX/AEM,2456,25046,1794,30,2012,820,2000,2000,300,
ASR,NAF,652,5782,460,30,480,38,440,,84,
MEDKON LIA,MES,1136,9600,612,12,630,30,600,,175,
FUYU,SGX,1004,9912,752,12,864,124,800-810,,20,
CHANG SHENG JI 8,REX,2001,22000,1552,10,1724,340,1680,1630,53,
KAI DA HONG ZHOU,SGX,1246,13300,978,10,1104,228,1000,1000,18,
CUL HOCHIMINH,AEM/CGX/REX,2700,27500,2214,30,2370,460 - 480,2250,2230,388,
CUL KLANG,AEM/REX,2400,27500,2002,30,2166,450-480,2030,2010,260,
CUL LAEMCHABANG,AEM/REX,1930,18000,1514,24,1670,250-300,1600,1550,220,
CUL SHEKOU,AEM/REX,2700,27500,2214,30,2370,460 - 480,2250,2230,388,
CUL YANGPU,CST(NB),1930,18000,1514,24,1670,250-300,Always reach max cargo weight 18000ton first,,220,
CUL HUMEN,IMR/REX,1730,18014,1078,24,1200,528,1050,1000,120,
DONG FANG MING HAI,CGS,1657,19000,1334,16,1472,274,1380,1350,60,
BAMSI BEYREK,REX,2556,23376,1948,58,/,/,2080,2000,350,
TEN VENUS,REX,1694,18284,1400,21,1542,410,1450,1370,300,
ZBM,IMR,1684,18000,1044,28,1162,452,1150,1150,40,
ZBM,RTS,1684,18000,1204,28,1322,452,1220,1180,40,
NEW THINKER,RTS,933,9520,640,88,736,268,680,655,10,
